Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","18119","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","29993","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","15","Wheat","1970","1970","hg/ha","9563","Fc","Calculated data"
"QCL","Crops and livestock products","2","Afghanistan","5419","Yield","15","Wheat","2019","2019","hg/ha","20951","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","29705","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5419","Yield","236","Soybeans","2019","2019","hg/ha","27626","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5419","Yield","15","Wheat","1970","1970","hg/ha","15377","Fc","Calculated data"
"QCL","Crops and livestock products","3","Albania","5419","Yield","15","Wheat","2019","2019","hg/ha","40680","Fc","Calculated data"
"QCL","Crops and livestock products","4","Algeria","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","15810","Fc","Calculated data"
"QCL","Crops and livestock products","4","Algeria","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","19913","Fc","Calculated data"
"QCL","Crops and livestock products","4","Algeria","5419","Yield","15","Wheat","1970","1970","hg/ha","6245","Fc","Calculated data"
"QCL","Crops and livestock products","4","Algeria","5419","Yield","15","Wheat","2019","2019","hg/ha","19630","Fc","Calculated data"
"QCL","Crops and livestock products","7","Angola","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","11980","Fc","Calculated data"
"QCL","Crops and livestock products","7","Angola","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","11931","Fc","Calculated data"
"QCL","Crops and livestock products","7","Angola","5419","Yield","236","Soybeans","2019","2019","hg/ha","10303","Fc","Calculated data"
"QCL","Crops and livestock products","7","Angola","5419","Yield","15","Wheat","1970","1970","hg/ha","8546","Fc","Calculated data"
"QCL","Crops and livestock products","7","Angola","5419","Yield","15","Wheat","2019","2019","hg/ha","9704","Fc","Calculated data"
"QCL","Crops and livestock products","9","Argentina","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","39941","Fc","Calculated data"
"QCL","Crops and livestock products","9","Argentina","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","64919","Fc","Calculated data"
"QCL","Crops and livestock products","9","Argentina","5419","Yield","236","Soybeans","1970","1970","hg/ha","10320","Fc","Calculated data"
"QCL","Crops and livestock products","9","Argentina","5419","Yield","236","Soybeans","2019","2019","hg/ha","33340","Fc","Calculated data"
"QCL","Crops and livestock products","9","Argentina","5419","Yield","15","Wheat","1970","1970","hg/ha","13294","Fc","Calculated data"
"QCL","Crops and livestock products","9","Argentina","5419","Yield","15","Wheat","2019","2019","hg/ha","32160","Fc","Calculated data"
"QCL","Crops and livestock products","1","Armenia","5419","Yield","15","Wheat","2019","2019","hg/ha","19565","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","27","Rice, paddy","1970","1970","hg/ha","62274","Fc","Calculated data"
"QCL","Crops and livestock products","10","Australia","5419","Yield","27","Rice, paddy","2019","2019","hg/ha","87710","Fc","Calculated data"
